setting_type	setting_raw	setting_value	alpha	perp	gamma	n_rows	n_delta_ppl	n_delta_loss	mean_delta_ppl	median_delta_ppl	win_rate_delta_ppl_lt_0	worst_case_delta_ppl	best_case_delta_ppl	mean_delta_loss	median_delta_loss	worst_case_delta_loss	best_case_delta_loss	stats.batch_size	stats.gen_use_cache	stats.sites.residual_output.batch_size	stats.sites.residual_output.gen_use_cache	stats.sites.residual_output.targets.attn.layer_window.end_layer_exclusive	stats.sites.residual_output.targets.attn.layer_window.n_active_layers	stats.sites.residual_output.targets.attn.layer_window.n_layers	stats.sites.residual_output.targets.attn.layer_window.skip_first_n	stats.sites.residual_output.targets.attn.layer_window.skip_last_n	stats.sites.residual_output.targets.attn.layer_window.start_layer	stats.sites.residual_output.targets.attn.layer_window.track_layerwise_stats	stats.sites.residual_output.targets.attn.layer_window.track_stats	stats.sites.residual_output.targets.attn.layer_window.xsa_alpha	stats.sites.residual_output.targets.attn.layer_window.xsa_perp_scale	stats.sites.residual_output.targets.both.layer_window.end_layer_exclusive	stats.sites.residual_output.targets.both.layer_window.n_active_layers	stats.sites.residual_output.targets.both.layer_window.n_layers	stats.sites.residual_output.targets.both.layer_window.skip_first_n	stats.sites.residual_output.targets.both.layer_window.skip_last_n	stats.sites.residual_output.targets.both.layer_window.start_layer	stats.sites.residual_output.targets.both.layer_window.track_layerwise_stats	stats.sites.residual_output.targets.both.layer_window.track_stats	stats.sites.residual_output.targets.both.layer_window.xsa_alpha	stats.sites.residual_output.targets.both.layer_window.xsa_perp_scale	stats.sites.residual_output.targets.mlp.layer_window.end_layer_exclusive	stats.sites.residual_output.targets.mlp.layer_window.n_active_layers	stats.sites.residual_output.targets.mlp.layer_window.n_layers	stats.sites.residual_output.targets.mlp.layer_window.skip_first_n	stats.sites.residual_output.targets.mlp.layer_window.skip_last_n	stats.sites.residual_output.targets.mlp.layer_window.start_layer	stats.sites.residual_output.targets.mlp.layer_window.track_layerwise_stats	stats.sites.residual_output.targets.mlp.layer_window.track_stats	stats.sites.residual_output.targets.mlp.layer_window.xsa_alpha	stats.sites.residual_output.targets.mlp.layer_window.xsa_perp_scale	stats.sites.residual_output.use_chat_template	stats.sites.residual_output.xsa_alpha	stats.sites.residual_output.xsa_layer_selection.xsa_end_layer	stats.sites.residual_output.xsa_layer_selection.xsa_skip_first_n	stats.sites.residual_output.xsa_layer_selection.xsa_skip_last_n	stats.sites.residual_output.xsa_layer_selection.xsa_start_layer	stats.sites.residual_output.xsa_layerwise_stats	stats.sites.residual_output.xsa_perp_scale	stats.sites.residual_output.xsa_track_stats	stats.sites.xsa_middle.batch_size	stats.sites.xsa_middle.gen_use_cache	stats.sites.xsa_middle.targets.attn.layer_window.end_layer_exclusive	stats.sites.xsa_middle.targets.attn.layer_window.n_active_layers	stats.sites.xsa_middle.targets.attn.layer_window.n_layers	stats.sites.xsa_middle.targets.attn.layer_window.skip_first_n	stats.sites.xsa_middle.targets.attn.layer_window.skip_last_n	stats.sites.xsa_middle.targets.attn.layer_window.start_layer	stats.sites.xsa_middle.targets.attn.layer_window.track_layerwise_stats	stats.sites.xsa_middle.targets.attn.layer_window.track_stats	stats.sites.xsa_middle.targets.attn.layer_window.xsa_alpha	stats.sites.xsa_middle.targets.attn.layer_window.xsa_perp_scale	stats.sites.xsa_middle.use_chat_template	stats.sites.xsa_middle.xsa_alpha	stats.sites.xsa_middle.xsa_layer_selection.xsa_end_layer	stats.sites.xsa_middle.xsa_layer_selection.xsa_skip_first_n	stats.sites.xsa_middle.xsa_layer_selection.xsa_skip_last_n	stats.sites.xsa_middle.xsa_layer_selection.xsa_start_layer	stats.sites.xsa_middle.xsa_layerwise_stats	stats.sites.xsa_middle.xsa_perp_scale	stats.sites.xsa_middle.xsa_track_stats	stats.sites.xsa_middle_multihead.batch_size	stats.sites.xsa_middle_multihead.gen_use_cache	stats.sites.xsa_middle_multihead.targets.attn.layer_window.end_layer_exclusive	stats.sites.xsa_middle_multihead.targets.attn.layer_window.n_active_layers	stats.sites.xsa_middle_multihead.targets.attn.layer_window.n_layers	stats.sites.xsa_middle_multihead.targets.attn.layer_window.skip_first_n	stats.sites.xsa_middle_multihead.targets.attn.layer_window.skip_last_n	stats.sites.xsa_middle_multihead.targets.attn.layer_window.start_layer	stats.sites.xsa_middle_multihead.targets.attn.layer_window.track_layerwise_stats	stats.sites.xsa_middle_multihead.targets.attn.layer_window.track_stats	stats.sites.xsa_middle_multihead.targets.attn.layer_window.xsa_alpha	stats.sites.xsa_middle_multihead.targets.attn.layer_window.xsa_perp_scale	stats.sites.xsa_middle_multihead.use_chat_template	stats.sites.xsa_middle_multihead.xsa_alpha	stats.sites.xsa_middle_multihead.xsa_layer_selection.xsa_end_layer	stats.sites.xsa_middle_multihead.xsa_layer_selection.xsa_skip_first_n	stats.sites.xsa_middle_multihead.xsa_layer_selection.xsa_skip_last_n	stats.sites.xsa_middle_multihead.xsa_layer_selection.xsa_start_layer	stats.sites.xsa_middle_multihead.xsa_layerwise_stats	stats.sites.xsa_middle_multihead.xsa_perp_scale	stats.sites.xsa_middle_multihead.xsa_track_stats	stats.use_chat_template	stats.xsa_layer_selection.xsa_end_layer	stats.xsa_layer_selection.xsa_skip_first_n	stats.xsa_layer_selection.xsa_skip_last_n	stats.xsa_layer_selection.xsa_start_layer
alpha	0.0_perp_0.0	0	0	0		8	8	8	1148940.27485383	1044908.67291787	0.00000000	2516892.93520671	416066.58152912	9.87759990	9.92270005	11.13515902	8.57596540	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	0.0_perp_0.1	0	0	0.1		8	8	8	54759.06240118	48594.91281566	0.00000000	140549.82101377	15232.77254099	6.79540390	6.82518124	8.32600164	4.94360399	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.10000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	0.0_perp_0.2	0	0	0.2		8	8	8	3096.66127638	2528.62900646	0.00000000	6282.82569171	743.49616674	3.95780885	3.97568333	4.90037632	3.07037973	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.20000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	0.0_perp_0.3	0	0	0.3		8	8	8	602.84155463	368.94563604	0.00000000	1782.32623242	85.15181697	2.21847385	2.14940441	2.74696970	1.83605337	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.30000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	0.0_perp_0.4	0	0	0.4		8	8	8	101.08483601	39.21717825	0.00000000	319.02464812	23.12156685	0.84910095	0.90860843	1.58499360	0.33564615	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.40000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	0.0_perp_0.5	0	0	0.5		8	8	8	5.85205815	3.75145153	0.37500000	45.41008005	-35.18137183	0.13134479	0.13617504	0.41033673	-0.18495560	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	0.0_perp_0.6	0	0	0.6		8	8	8	-7.26394059	-1.36408389	0.75000000	20.06425121	-74.68158941	-0.02807125	-0.02652418	0.29940224	-0.44386292	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.60000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	0.0_perp_0.7	0	0	0.7		8	8	8	-9.46534752	-4.51090487	0.75000000	12.52022544	-56.32807639	-0.10095281	-0.10907924	0.19705486	-0.31519842	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.70000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	0.0_perp_0.8	0	0	0.8		8	8	8	-8.38349002	-4.23993149	0.75000000	5.76932103	-32.52232009	-0.10312280	-0.12718558	0.09564400	-0.26471424	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.80000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
alpha	0.0_perp_0.9	0	0	0.9		8	8	8	-6.31551951	-1.89779539	0.75000000	0.58261848	-24.61955391	-0.06539697	-0.06376005	0.01008463	-0.14225149	1.00000000	1.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	0.00000000	1.00000000	1.00000000	36.00000000	36.00000000	36.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	1.00000000	0.00000000	-1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.90000000	0.00000000	1.00000000	-1.00000000	0.00000000	0.00000000	0.00000000
