model,setting,openbookqa,piqa,rte,winogrande,boolq,arc_challenge,hellaswag,mmlu,gsm8k,humaneval,nq_open,drop,mbpp,bbh_cot_zeroshot,mts_dialog,ruler,truthfulqa_gen,avg
Llama-3.2-3B,none-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,87.37,,87.37
Llama-3.2-3B,residual_attn-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,75.74,,75.74
Llama-3.2-3B,residual_both-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,70.94,,70.94
Llama-3.2-3B,residual_mlp-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,56.63,,56.63
Llama-3.2-3B,xsa_middle-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,87.01,,87.01
Llama-3.2-3B,xsa_middle_multihead-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,87.01,,87.01
Qwen3-1.7B,none-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,88.08,,88.08
Qwen3-1.7B,residual_attn-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,29.29,,29.29
Qwen3-1.7B,residual_both-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,18.1,,18.1
Qwen3-1.7B,residual_mlp-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,76.07,,76.07
Qwen3-1.7B,xsa_middle_multihead-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,87.97,,87.97
Qwen3-4B,none-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,92.67,,92.67
Qwen3-4B,residual_attn-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,50.91,,50.91
Qwen3-4B,xsa_middle_multihead-4k_8k_16k_32k_64k_128k,,,,,,,,,,,,,,,,92.63,,92.63
Qwen_Qwen3-1.7B,attn_diag_zero_renorm,26.0,49.4,54.51,51.22,39.48,27.13,26.16,22.0,0.0,0.0,0.03,0.38,0.0,0.4,,,,21.19
Qwen_Qwen3-1.7B,none,37.2,72.14,70.04,60.69,77.8,53.24,60.44,35.0,68.01,38.41,9.7,7.34,43.2,78.8,,,,50.86
Qwen_Qwen3-1.7B,residual_attn,37.2,72.03,66.06,55.8,71.16,50.17,58.9,23.0,0.15,25.0,7.2,5.21,3.6,51.2,,,,37.62
Qwen_Qwen3-1.7B,residual_mlp,32.2,67.68,66.43,59.27,70.03,45.39,55.01,36.0,50.19,15.85,4.76,7.62,18.4,73.6,,,,43.03
Qwen_Qwen3-1.7B,xsa_middle_multihead,36.4,72.09,70.76,59.83,77.58,53.07,60.38,35.0,67.7,42.07,9.7,7.31,43.4,80.8,,,,51.15
Qwen_Qwen3-1.7B,xsa_middle_multihead-add_parallel-a1p0,37.4,72.47,70.76,60.06,77.98,52.9,60.15,34.0,67.93,40.24,9.7,7.42,42.6,81.2,,,,51.06
Qwen_Qwen3-1.7B,xsa_middle_multihead-add_parallel-a0p25,36.4,72.14,69.68,59.67,77.83,52.99,60.19,35.0,68.69,43.9,9.78,7.46,42.2,77.6,,,,50.97
Qwen_Qwen3-1.7B,xsa_middle_multihead-add_parallel-a0p5,37.2,72.58,70.4,59.98,77.8,53.24,60.14,35.0,68.16,40.24,9.72,7.47,42.4,76.0,,,,50.74
Qwen_Qwen3-1.7B,xsa_middle_multihead-add_parallel-a1p0,37.4,72.47,70.76,60.06,77.98,52.9,60.15,34.0,67.93,40.24,9.7,7.42,42.6,81.2,,,,51.06
Qwen_Qwen3-1.7B,xsa_middle_multihead-add_parallel-a1p5,37.2,72.14,70.4,60.14,77.71,53.07,60.24,36.0,68.39,41.46,9.58,7.49,41.4,78.8,,,,51.0
Qwen_Qwen3-1.7B,xsa_middle_multihead-add_parallel-a2p0,37.0,72.14,70.76,59.51,77.92,52.56,60.14,36.0,66.72,40.85,9.67,7.59,42.4,84.0,,,,51.23
Qwen_Qwen3-1.7B,xsa_middle_multihead-add_parallel-a4p0,37.2,71.76,70.76,59.83,77.71,52.3,59.98,37.0,66.79,39.02,9.58,7.95,40.8,80.8,,,,50.82
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-0.25,36.2,71.98,70.04,60.54,77.25,53.5,60.18,36.0,67.25,39.02,9.75,7.17,42.6,78.8,,,,50.73
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-0.5,37.0,71.76,70.76,60.93,77.61,53.58,60.13,35.0,68.39,41.46,9.61,7.21,42.2,80.0,,,,51.12
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-0.75,37.0,72.14,70.76,60.14,77.65,53.84,60.17,36.0,67.4,37.8,9.5,7.26,42.4,82.0,,,,51.0
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-1,36.4,72.09,70.4,60.22,77.55,53.33,60.2,35.0,66.94,40.24,9.64,7.21,41.6,78.0,,,,50.63
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-1.5,36.6,71.87,70.76,60.3,77.34,53.75,60.19,36.0,66.03,40.85,9.7,7.22,42.4,83.2,,,,51.16
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-10,36.0,71.33,72.2,59.27,74.13,50.85,58.92,26.0,59.51,29.27,8.86,6.31,33.6,78.0,,,,47.45
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-100,25.4,51.47,46.93,51.54,46.57,26.11,26.14,25.0,0.0,0.0,0.03,0.14,0.0,0.4,,,,21.41
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-12.5,35.8,70.62,70.4,58.72,72.05,50.17,57.93,31.0,52.54,23.78,8.73,6.27,31.0,84.0,,,,46.64
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-15,34.6,70.29,71.48,56.99,70.83,48.98,56.59,32.0,44.2,19.51,8.14,5.99,27.0,81.6,,,,44.87
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-17.5,34.2,69.91,66.79,56.27,69.33,47.18,54.79,31.0,33.51,16.46,7.15,5.64,17.4,77.6,,,,41.94
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-2,36.8,71.93,70.76,60.3,77.71,53.33,60.16,35.0,65.96,39.63,9.81,7.17,41.8,79.2,,,,50.68
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-2.5,36.2,72.25,70.76,59.67,77.37,53.92,60.06,35.0,66.49,39.02,9.5,7.09,40.4,80.8,,,,50.61
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-20,32.0,69.04,63.9,54.3,66.61,44.71,52.91,32.0,20.55,10.98,5.96,4.72,8.0,64.8,,,,37.89
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-3,36.2,71.98,71.12,59.75,77.19,53.58,60.02,35.0,65.88,39.63,9.67,7.08,42.0,84.0,,,,50.94
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-3.5,36.6,71.65,71.12,60.38,77.22,53.41,60.03,35.0,66.64,37.8,9.56,7.06,40.8,82.8,,,,50.72
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-30,27.0,63.38,50.18,49.72,60.06,31.14,41.57,24.0,0.23,0.0,1.86,2.63,0.0,18.8,,,,26.47
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-4,36.2,71.49,71.84,59.91,77.13,53.33,59.96,36.0,65.2,37.8,9.56,7.14,40.8,81.2,,,,50.54
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-4.5,36.2,71.82,71.12,60.22,77.03,52.65,59.91,36.0,65.5,36.59,9.58,7.08,40.6,78.4,,,,50.19
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-5,36.4,71.6,70.76,60.22,77.09,53.16,59.84,36.0,64.52,37.8,9.61,7.0,40.2,82.4,,,,50.47
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-50,29.8,50.76,49.82,49.57,43.82,25.68,27.03,22.0,0.0,0.0,0.03,2.09,0.0,9.2,,,,22.13
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-6,36.0,71.49,72.56,60.3,76.67,52.73,59.88,33.0,65.43,36.59,9.39,6.81,39.8,84.0,,,,50.33
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-7,36.2,71.71,72.56,60.14,76.39,51.54,59.46,31.0,63.31,37.8,9.34,6.77,38.4,80.0,,,,49.62
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-8,35.8,71.44,71.48,59.35,75.78,51.19,59.29,28.0,61.64,39.63,9.22,6.64,36.8,82.0,,,,49.16
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps-9,35.6,71.6,72.56,59.91,75.02,51.54,59.06,27.0,62.32,31.1,9.25,6.44,35.8,81.2,,,,48.46
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps0,37.0,71.93,70.4,60.3,77.74,53.41,60.2,35.0,67.17,40.24,9.72,7.34,42.8,82.4,,,,51.12
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps0.25,37.2,72.52,70.4,60.3,77.52,53.16,60.08,34.0,69.07,41.46,9.61,7.29,42.6,78.0,,,,50.94
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps0.5,36.4,72.09,70.4,59.98,77.52,53.24,60.23,34.0,68.61,41.46,9.7,7.35,43.4,80.0,,,,51.03
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps0.75,37.2,72.47,70.04,60.77,77.4,53.33,60.18,34.0,67.93,39.63,9.7,7.33,43.0,82.4,,,,51.1
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps1,37.2,72.14,70.04,60.69,77.71,53.24,60.16,35.0,68.01,38.41,9.7,7.34,43.2,78.8,,,,50.83
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps1.5,37.2,72.58,70.4,59.98,77.8,53.24,60.14,35.0,68.16,40.24,9.72,7.47,42.4,76.0,,,,50.74
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps10,36.8,71.11,67.87,60.46,75.38,51.28,58.81,43.0,64.29,34.76,9.03,8.1,34.4,84.4,,,,49.98
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps100,26.0,50.16,53.07,47.91,47.25,24.49,26.14,21.0,0.0,0.0,0.0,0.66,0.0,0.0,,,,21.19
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps12.5,35.2,70.51,65.7,61.4,73.67,50.68,57.89,40.0,59.82,33.54,8.86,7.81,28.4,86.4,,,,48.56
Qwen_Qwen3-1.7B,xsa_middle_multihead-ps15,35.8,70.02,63.9,61.48,71.25,48.89,56.82,39.0,53.9,33.54,8.53,7.03,21.4,84.0,,,,46.83
