model,ckpt_label,checkpoint_name,save_step,tokens_seen_b,arc_easy,boolq,hellaswag,lambada_openai,openbookqa,piqa,rte,winogrande,avg
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt.pt,53000.0,55.575,36.15,53.85,32.75,113.4279,30.8,61.26,54.15,52.25,45.89
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt_best.pt,51000.0,53.477,34.64,54.4,32.8,105.9456,31.4,62.24,55.6,49.33,45.77
0p7,xsa-paper-0p7b-xsa-lgate,ckpt.pt,29000.0,30.409,50.38,57.49,45.86,17.1433,31.6,69.37,,,50.94
0p7,xsa-paper-0p7b-xsa-lgate,ckpt_best.pt,27000.0,28.312,32.24,47.8,31.91,302.5456,31.4,60.45,53.43,49.96,43.88
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h0p9-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt.pt,21000.0,22.02,35.14,51.96,32.28,183.6086,32.0,60.45,53.79,52.49,45.44
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h0p9-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt_best.pt,20000.0,20.972,33.67,50.92,31.37,161.8588,32.0,59.3,51.62,49.17,44.01
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337,ckpt.pt,145000.0,,33.04,56.33,29.19,692.3778,30.0,57.67,55.23,51.62,44.73
0p7,xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337,ckpt.pt,108000.0,,58.46,58.01,,11.7903,32.8,72.47,,,55.43
0p7,xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337,ckpt_best.pt,108000.0,,35.23,58.96,31.55,170.8289,31.6,59.52,55.23,50.51,46.09
0p7,xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337,ckpt.pt,104000.0,,56.4,61.56,,11.4532,35.2,72.25,,,56.35
0p7,xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337,ckpt_best.pt,99000.0,,39.31,58.35,31.36,22.296,30.2,60.72,51.99,51.3,46.18
0p7,xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337,ckpt.pt,74000.0,,53.11,,,,,,,,53.11
0p7,xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337,ckpt_best.pt,69000.0,,31.52,48.75,31.82,36.08,30.2,57.56,51.62,53.43,43.56
0p7,xsa-paper-0p7b-xsa-xfrresidual-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337,ckpt.pt,59000.0,,51.89,,,,,,,,51.89
0p7,xsa-paper-0p7b-xsa-xfrresidual-xftmlp-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337,ckpt.pt,30000.0,,48.23,,,,,,,,48.23
0p7,xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337,ckpt.pt,24000.0,,52.36,62.11,,15.2432,32.4,70.95,,,54.46
0p7,xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftmlp-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337,ckpt.pt,24000.0,,51.14,60.8,,17.2247,30.4,70.95,,,53.32
0p7,xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb256-lr5e-4-s1337,ckpt.pt,20000.0,,49.41,59.42,,20.6698,28.6,69.64,,,51.77
0p7,xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10,ckpt.pt,14000.0,,49.79,61.53,,16.7649,29.8,69.8,,,52.73
0p7,xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10,ckpt_best.pt,14000.0,,50.04,61.47,44.39,16.7727,30.2,69.75,53.07,53.04,51.71
0p7,xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337,xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337,,,52.36,62.11,46.12,15.2432,32.4,70.95,54.15,50.91,52.71
0p7,xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337,xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337,,,58.46,58.01,53.4,11.7903,32.8,72.47,52.71,54.93,54.68
