status	status_detail	family	model	ckpt_label	source_line	nonempty_metrics	avg	lambada_openai	arc_easy	boolq	hellaswag	openbookqa	piqa	rte	winogrande
keep	main_analysis	0p7b	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	9	8	52.71	15.2432	52.36	62.11	46.12	32.4	70.95	54.15	50.91
keep	main_analysis	0p7b	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	12	8	54.68	11.7903	58.46	58.01	53.4	32.8	72.47	52.71	54.93
keep	main_analysis	0p7b	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftmlp-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftmlp-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	14	8	51.69	17.2247	51.14	60.8	46.68	30.4	70.95	48.74	53.12
keep	main_analysis	0p7b	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10	16	8	51.71	16.7727	50.04	61.47	44.39	30.2	69.75	53.07	53.04
keep	main_analysis	0p7b	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	24	8	46.18	22.296	39.31	58.35	31.36	30.2	60.72	51.99	51.3
keep	main_analysis	0p7b	xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	32	8	43.56	36.08	31.52	48.75	31.82	30.2	57.56	51.62	53.43
review	borderline_lambada_100_to_1000	0p7b	xsa-paper-0p7b-xsa-lgate	xsa-paper-0p7b-xsa-lgate	28	8	43.88	302.5456	32.24	47.8	31.91	31.4	60.45	53.43	49.96
review	borderline_lambada_100_to_1000	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h0p9-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h0p9-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	34	8	45.44	183.6086	35.14	51.96	32.28	32.0	60.45	53.79	52.49
review	borderline_lambada_100_to_1000	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-var-gamma-h1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10	36	8	45.89	113.4279	36.15	53.85	32.75	30.8	61.26	54.15	52.25
review	borderline_lambada_100_to_1000	0p7b	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	38	8	44.73	692.3778	33.04	56.33	29.19	30.0	57.67	55.23	51.62
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	8	5	54.46	15.2432	52.36	62.11		32.4	70.95		
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	10	5	55.43	11.7903	58.46	58.01		32.8	72.47		
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337	11	8	46.09	170.8289	35.23	58.96	31.55	31.6	59.52	55.23	50.51
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftmlp-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftmlp-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337	13	5	53.32	17.2247	51.14	60.8		30.4	70.95		
exclude	duplicate_noncanonical	0p7b	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10	15	5	52.73	16.7649	49.79	61.53		29.8	69.8		
