model,ckpt_label,checkpoint_name,save_step,tokens_seen_b,arc_easy,boolq,hellaswag,lambada_openai,openbookqa,piqa,rte,winogrande,avg,drop_reason
0p7,xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb2048-lr5e-4-s1337,ckpt.pt,1000.0,,30.09,48.04,,2085.1151,24.6,56.75,,,39.87,save_step<=5000
0p7,xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb2048-lr5e-4-s1337,ckpt_best.pt,1000.0,,28.24,43.3,25.8,1170.3582,31.4,56.31,52.35,50.28,41.1,save_step<=5000
0p7,xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt.pt,0.0,0.0,24.96,37.86,,707392116840000.5,,51.96,,,38.26,save_step<=5000
0p7,xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt_best.pt,0.0,0.0,24.96,37.83,25.58,706826072815081.0,29.8,51.8,52.71,49.41,38.87,save_step<=5000
0p7,xsa-paper-0p7b-baseline-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt.pt,0.0,0.0,25.08,37.83,,702842327147412.9,29.4,51.69,,,36.0,save_step<=5000
0p7,xsa-paper-0p7b-baseline-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt_best.pt,0.0,0.0,24.92,38.32,25.58,704019717240557.5,29.4,51.58,52.71,49.01,38.79,save_step<=5000
0p7,xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt_best.pt,0.0,0.0,25.21,38.35,25.6,706963254002970.0,29.4,51.52,52.71,49.01,38.83,save_step<=5000
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlg1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt.pt,0.0,0.0,25.29,38.32,25.58,711332626382322.1,29.6,51.74,52.71,48.62,38.84,save_step<=5000
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlg1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt_best.pt,0.0,0.0,25.29,38.32,25.58,711332626382322.1,29.6,51.74,52.71,48.62,38.84,save_step<=5000
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb2048-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt.pt,0.0,0.0,25.29,38.32,25.58,711332626382322.1,29.6,51.74,52.71,48.62,38.84,save_step<=5000
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb2048-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt_best.pt,0.0,0.0,25.29,38.32,25.58,711332626382322.1,29.6,51.74,52.71,48.62,38.84,save_step<=5000
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt.pt,0.0,0.0,25.0,37.86,25.58,710349753750399.5,29.6,51.58,52.71,48.62,38.71,save_step<=5000
0p7,xsa-paper-0p7b-xsa-xfrself_value-xsppre_o_proj-xftattn-xlgh1p0-xl0--1-xs1-gb4096-lr5e-4-minlr5e-5-s1337-lrlr10,ckpt_best.pt,0.0,0.0,25.29,38.32,25.58,711332626382322.1,29.6,51.74,52.71,48.62,38.84,save_step<=5000
1p4,xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr4e-4-minlr4e-5-s1337-lrlr10,ckpt.pt,4000.0,,,60.8,36.59,34.0505,29.2,67.3,,51.85,49.15,save_step<=5000
1p4,xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb4096-lr4e-4-minlr4e-5-s1337-lrlr10,ckpt_best.pt,4000.0,,46.0,60.83,36.59,34.0392,29.2,67.25,55.6,50.83,49.47,save_step<=5000
