family	method	present	delta_vs_baseline_avg	avg	lambada_openai	arc_easy	boolq	hellaswag	openbookqa	piqa	rte	winogrande	status_detail	model
0p7b	baseline	yes	0.00	46.18	22.296	39.31	58.35	31.36	30.2	60.72	51.99	51.3	main_analysis	xsa-paper-0p7b-baseline-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337
0p7b	residual_attn_control	yes	8.50	54.68	11.7903	58.46	58.01	53.4	32.8	72.47	52.71	54.93	main_analysis	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337
0p7b	residual_mlp_control	yes	5.51	51.69	17.2247	51.14	60.8	46.68	30.4	70.95	48.74	53.12	main_analysis	xsa-paper-0p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftmlp-xl0--1-xs1-fineweb100bt-ctx2048-gb256-lr5e-4-s1337
0p7b	xsa_value_control	yes	-2.62	43.56	36.08	31.52	48.75	31.82	30.2	57.56	51.62	53.43	main_analysis	xsa-paper-0p7b-xsa-xfrresidual-xsppre_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb4096-lr5e-4-s1337
0p7b	gated_value_control	yes	5.53	51.71	16.7727	50.04	61.47	44.39	30.2	69.75	53.07	53.04	main_analysis	xsa-paper-0p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb4096-lr5e-4-min5e-5-s1337-lrlr10
1p4b	baseline	yes	0.00	45.38	9.815	43.86		38.8	27.2	65.56		51.46	main_analysis	xsa-paper-1p4b-baseline-fineweb100bt-ctx2048-gb256-lr4e-4-s1337
1p4b	residual_attn_control	no												
1p4b	residual_mlp_control	no												
1p4b	xsa_value_control	no												
1p4b	gated_value_control	yes	5.95	51.33	15.1088	52.27	60.24	45.25	30.4	71.11	47.65	52.41	main_analysis	xsa-paper-1p4b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-gb8192-lr4e-4-minlr4e-5-s1337-lrlr10
2p7b	baseline	yes	0.00	49.05	8.5781	42.89	57.83	31.56	33.6	67.95	57.4	52.09	main_analysis	xsa-paper-2p7b-baseline-gb8192-lr3e-4-minlr3e-5-s1337-lrlr10
2p7b	residual_attn_control	yes	-3.56	45.49	14.4106	37.71	60.49	26.45	33.6	59.19	52.35	48.62	main_analysis	xsa-paper-2p7b-attn_para_removal-xfrresidual-xsppost_o_proj-xftattn-xl0--1-xs1-fineweb100bt-ctx2048-gb8192-lr3e-4-s1337
2p7b	residual_mlp_control	no												
2p7b	xsa_value_control	no												
2p7b	gated_value_control	yes	3.91	52.96	15.1051	52.69	59.36	46.53	32.6	70.95	55.96	52.64	main_analysis	xsa-paper-2p7b-axon-hard-kftrue-xfrself_value-xsppre_o_proj-xftattn-xl0--1-xs1-fw-ctx2048-gb8192-lr3e-4-min3e-5-s1337-lrlr10
