perp_scale	n_prompts	mean_per_text_baseline_ppl	mean_per_text_xsa_ppl	mean_per_text_delta_ppl_xsa	mean_per_text_residual_attn_ppl	mean_per_text_delta_ppl_residual_attn	mean_per_text_residual_mlp_ppl	mean_per_text_delta_ppl_residual_mlp	mean_per_text_residual_both_ppl	mean_per_text_delta_ppl_residual_both	weighted_baseline_loss	weighted_baseline_ppl	weighted_xsa_loss	weighted_delta_loss_xsa	weighted_xsa_ppl	weighted_residual_attn_loss	weighted_delta_loss_residual_attn	weighted_residual_attn_ppl	weighted_residual_mlp_loss	weighted_delta_loss_residual_mlp	weighted_residual_mlp_ppl	weighted_residual_both_loss	weighted_delta_loss_residual_both	weighted_residual_both_ppl	median_baseline_loss	median_xsa_loss	median_delta_loss_xsa
-1.5	1024	91.72845411	349834.83348925	349743.10503514	388405.63364880	388313.90519470	51016936.30146912	51016844.57301498	17687366.54445388	17687274.81599975	3.89644276	49.22702483	12.53684683	8.64040407	278409.08226868	12.68662690	8.79018414	323394.07232925	17.66890707	13.77246431	47152946.89481602	16.54562701	12.64918425	15334672.67926759	4.00119698	12.61787128	8.57217300
-1.375	2048	38.16985382	324034.70188491	323996.53203109	344145.31791681	344107.14806299	45630058.94237575	45630020.77252201	22210000.53169696	22209962.36184314	3.25157423	25.83097181	12.45136767	9.19979344	255599.65937044	12.56296504	9.31139081	285776.42054037	17.53281919	14.28124496	41153485.65082190	16.73015434	13.47858012	18442241.86320782	3.30591965	12.53737164	9.17227840
-1.25	1024	91.72845411	338596.76857821	338505.04012410	451352.03053694	451260.30208283	42526271.74767940	42526180.01922532	21878249.09979874	21878157.37134460	3.89644276	49.22702483	12.47970059	8.58325783	262945.11182441	12.74841245	8.85196970	344005.33813513	17.46047921	13.56403645	38281572.84818522	16.72210876	12.82566600	18294458.45841802	4.00119698	12.59188604	8.52092302
-1.125	2048	38.16985382	333093.88553673	333055.71568291	369082.57654945	369044.40669562	32204252.24821078	32204214.07835691	28405547.79819094	28405509.62833717	3.25157423	25.83097181	12.44335537	9.19178114	253559.90046526	12.59076841	9.33919418	293833.45674190	17.16712211	13.91554788	28548704.44169087	16.93213848	13.68056425	22570142.89980853	3.30591965	12.54233170	9.20382392
-1.0	1024	91.72845411	302296.86213832	302205.13368421	366439.79940901	366348.07095490	29039486.54970750	29039394.82125338	29783143.12368123	29783051.39522713	3.89644276	49.22702483	12.38846224	8.49201948	240016.32935966	12.60939022	8.71294746	299356.43097132	17.07062439	13.17418163	25922565.20434390	16.94987059	13.05342783	22973928.50642055	4.00119698	12.49141693	8.38484991
-0.875	2048	38.16985382	411113.73574296	411075.56588914	461496.14312324	461457.97326942	28354489.45394007	28354451.28408629	40854645.53498740	40854607.36513364	3.25157423	25.83097181	12.62837386	9.37679963	305093.59020080	12.78028747	9.52871324	355147.14147987	16.94364208	13.69206785	22831279.90339349	17.19421502	13.94264080	29332744.94699600	3.30591965	12.73465967	9.37063873
-0.75	1024	91.72845411	561583.08652335	561491.35806924	528020.80680006	527929.07834595	43691158.20318625	43691066.47473222	47502936.51633223	47502844.78787804	3.89644276	49.22702483	13.00965160	9.11320885	446704.06386874	12.95452620	9.05808344	422745.74235429	16.56316501	12.66672226	15605984.40786963	17.20526909	13.30882634	29658789.85602562	4.00119698	13.13782024	9.01358449
-0.625	2048	38.16985382	883745.54458652	883707.37473270	835753.33574887	835715.16589505	107247508.36468145	107247470.19482762	67138840.30108289	67138802.13122915	3.25157423	25.83097181	13.32023245	10.06865822	609401.40182617	13.34809458	10.09652035	626619.37531715	16.33230557	13.08073134	12388826.91272100	17.41881106	14.16723683	36719226.51066490	3.30591965	13.45174122	10.07698762
-0.5	1024	91.72845411	1823526.93094069	1823435.20248658	1423648.85117161	1423557.12271751	71058494.00349924	71058402.27504507	67391339.63064183	67391247.90218772	3.89644276	49.22702483	14.06932533	10.17288258	1288933.04037736	13.90064825	10.00420549	1088866.98187038	17.57255063	13.67610788	42821489.80904415	17.21986044	13.32341768	30094724.12459796	4.00119698	14.18984556	10.09061265
-0.375	2048	38.16985382	3047428.80916525	3047390.63931142	1878634.33704522	1878596.16719139	288098614.67771626	288098576.50786203	74541641.21060783	74541603.04075414	3.25157423	25.83097181	14.61925319	11.36767896	2233885.91866081	14.21782228	10.96624805	1495277.36828900	19.04616515	15.79459092	186915116.73576874	17.13383568	13.88226145	27614061.51520505	3.30591965	14.69936562	11.30991030
