panel,series,scale,ppl,delta_ppl,source
parallel,value,-1.0,210.8102019017604,188.7744593491261,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_editm1_2026-08-10T15-39-03.099594.json
parallel,value,-0.5,40.168090306709246,18.132347754074953,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_editm0p5_2026-08-10T15-39-46.844703.json
parallel,value,0.0,22.495854647408816,0.460112094774523,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_edit0_2026-08-10T15-27-14.141272.json
parallel,value,0.25,21.017970173563253,-1.0177723790710402,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_edit0p25_2026-08-10T15-39-15.584150.json
parallel,value,0.5,20.719742185672956,-1.3160003669613367,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_edit0p5_2026-08-10T15-39-15.938261.json
parallel,value,0.75,21.141625344239397,-0.8941172083948956,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_edit0p75_2026-08-10T15-39-44.423245.json
parallel,value,1.0,22.035742552634293,0.0,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_edit1_2026-08-10T15-34-00.907952.json
parallel,value,1.5,25.16278036919272,3.1270378165584276,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_edit1p5_2026-08-10T15-39-41.077278.json
parallel,value,2.0,31.161798165914824,9.126055613280531,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_edit2_2026-08-10T15-39-41.052181.json
parallel,value,2.5,45.794951976989914,23.75920942435562,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_edit2p5_2026-08-10T15-39-42.167287.json
parallel,value,3.0,89.47364410110305,67.43790154846876,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_component_scaling/by_model/qwen3_1p7b/kv2_group/wikitext-kv2_group_para_edit3_2026-08-10T15-39-46.250706.json
parallel,residual_attn,-1.0,3318916.9462105245,3318894.8971044645,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_editm1_2026-08-09T19-49-54.307042.json
parallel,residual_attn,-0.5,16249.897491864456,16227.848385804218,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_editm0p5_2026-08-09T19-49-39.068870.json
parallel,residual_attn,0.0,43.05973384343121,21.01062778319317,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_edit0_2026-08-09T19-49-51.391822.json
parallel,residual_attn,0.25,27.761832047411446,5.712725987173403,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_edit0p25_2026-08-09T19-49-41.401572.json
parallel,residual_attn,0.5,24.136317439407428,2.0872113791693856,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_edit0p5_2026-08-09T19-50-22.728591.json
parallel,residual_attn,0.75,22.57769376644095,0.5285877062029094,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_edit0p75_2026-08-09T19-50-22.888616.json
parallel,residual_attn,1.0,22.049106060238042,0.0,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_edit1p0_2026-08-09T19-44-31.340947.json
parallel,residual_attn,1.5,22.85787954485579,0.808773484617749,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_edit1p5_2026-08-09T19-50-22.835040.json
parallel,residual_attn,2.0,26.4324863170538,4.383380256815759,eval/lm-evaluation-harness/outputs/xsa_figure3_matched_residual_20260809/by_model/qwen3_1p7b/residual_attn/wikitext-residual_attn_para_edit2_2026-08-09T19-50-24.240130.json
