Step,project_20260402_c4b7f427/run_20260430_64819a98/cn,project_20260402_c4b7f427/run_20260412_485afd31/cn,project_20260402_c4b7f427/run_20260412_5493889b/cn
0,16.763103,10.990140,10.990230
101,5.060550,4.376349,4.402317
202,3.956338,3.669498,3.679384
303,3.539904,3.429911,3.430801
404,3.375905,3.316583,3.307197
505,3.279779,3.246361,3.237149
606,3.217865,3.198532,3.188942
707,3.174998,3.170893,3.162420
808,3.132697,3.140183,3.128355
909,3.119067,3.130445,3.120741
1010,3.091787,3.111854,3.102042
1111,3.069279,3.096083,3.083088
1212,3.050745,3.081016,3.068883
1313,3.045520,3.079728,3.067213
1414,3.028592,3.066670,3.054230
1515,3.023140,3.066983,3.053564
1616,3.010875,3.054609,3.044295
1717,3.001944,3.048966,3.040996
1818,2.982049,3.031866,3.022460
1919,2.988187,3.044119,3.028550
2020,2.973090,3.029218,3.015292
2121,2.971859,3.029748,3.018010
2222,2.967692,3.028354,3.015632
2323,2.960032,3.019592,3.005996
2424,2.968471,3.028246,3.015692
2525,2.957891,3.020756,3.007054
2626,2.951166,3.015000,3.002252
2727,2.944552,3.010890,2.999227
2828,2.947767,3.013448,3.000035
2929,2.941236,3.008406,2.995994
3030,2.933825,3.003765,2.989307
3131,2.930022,3.000471,2.985976
3232,2.933205,3.004220,2.991545
3333,2.927488,2.997636,2.986166
3434,2.934336,3.006560,2.993341
3535,2.920317,2.994220,2.979680
3636,2.917605,2.991319,2.978507
3737,2.918838,2.994071,2.980924
3838,2.916398,2.990895,2.978973
3939,2.921299,2.997438,2.983280
4040,2.913442,2.989813,2.977031
4141,2.901752,2.978211,2.964656
4242,2.902781,2.980938,2.968220
4343,2.907349,2.987384,
4444,2.902409,2.982083,
4545,2.909634,2.990510,
4646,2.905621,2.986501,
4747,2.905181,2.985915,
4848,2.898119,2.979112,
4949,2.896579,2.977236,
5050,2.899720,2.981780,
5151,2.901618,2.984478,
5252,2.893560,2.976862,
5353,2.889901,2.972537,
5454,2.893403,2.977728,
5555,2.890593,2.975205,
5656,2.881650,2.965883,
5757,2.881293,2.965497,
5858,2.892214,2.976519,
5959,2.891059,2.975008,
6060,2.888250,2.973701,
6161,2.884314,2.970082,
6262,2.876148,2.962765,
6363,2.884308,2.970079,
6464,2.875963,2.961455,
6565,2.879220,2.966696,
6666,2.876268,,
6767,2.882365,,
6868,2.880424,,
6969,2.875308,,
7070,2.871792,,
7171,2.865807,,
7272,2.870564,,
7373,2.878077,,
7474,2.875890,,
7575,2.876105,,
7676,2.882074,,
7777,2.865535,,
7878,2.873471,,
7979,2.866245,,
8080,2.863663,,
8181,2.867702,,
8282,2.866151,,
8383,2.859365,,
8484,2.864257,,
8585,2.871824,,
8686,2.872036,,
8787,2.862075,,
8888,2.864173,,
8989,2.865859,,
9090,2.859376,,
