Step,project_20260419_f6b17fa1/run_20260423_dcd4c551/i18n
0,32.461742
101,4.178720
202,3.494742
303,3.262657
404,3.145204
505,3.099460
606,3.035153
707,2.999667
808,2.982906
909,2.923528
1010,2.919425
1111,2.900873
1212,2.893086
1313,2.868235
1414,2.887728
1515,2.883254
1616,2.840748
1717,2.848337
1818,2.828692
1919,2.833102
2020,2.815436
2121,2.818570
2222,2.821252
2323,2.799721
2424,2.789020
2525,2.815980
2626,2.781959
2727,2.787062
2828,2.777861
2929,2.751502
3030,2.770007
3131,2.761800
3232,2.778471
3333,2.778699
3434,2.761667
3535,2.728070
3636,2.750485
3737,2.741998
3838,2.756075
3939,2.720045
4040,2.756408
4141,2.748732
4242,2.715309
4343,2.722283
4444,2.717089
4545,2.727456
4646,2.718617
4747,2.714624
4848,2.731724
4949,2.745729
5050,2.738525
5151,2.749904
5252,2.710027
5353,2.743835
5454,2.739821
5555,2.722053
5656,2.741334
5757,2.742987
5858,2.719712
5959,2.694739
6060,2.713240
6161,2.705768
6262,2.722391
6363,2.692213
6464,2.697369
6565,2.718330
6666,2.704277
6767,2.682039
6868,2.690604
6969,2.689744
7070,2.664449
7171,2.687916
7272,2.665904
7373,2.689344
7474,2.657424
7575,2.692481
7676,2.693852
7777,2.690240
7878,2.671168
7979,2.656445
8080,2.651044
8181,2.698058
8282,2.676894
8383,2.675049
8484,2.651318
8585,2.657396
8686,2.656459
8787,2.668368
8888,2.667709
8989,2.653867
9090,2.662129
9191,2.681341
9292,2.633231
9393,2.646724
9494,2.644644
9595,2.648205
9696,2.607623
9797,2.653893
9898,2.621249
9999,2.640919
10100,2.652642
10201,2.642590
10302,2.635970
10403,2.639795
10504,2.651889
10605,2.645608
10706,2.640698
10807,2.634711
10908,2.620615
11009,2.652083
11110,2.638019
11211,2.612132
11312,2.624484
11413,2.621626
11514,2.614757
11615,2.605942
11716,2.631022
11817,2.599059
11918,2.604887
12019,2.605707
12120,2.638215
12221,2.598750
12322,2.621891
12423,2.614348
12524,2.598415
12625,2.607899
12726,2.603339
12827,2.580120
12928,2.582073
13029,2.596017
13130,2.599107
13231,2.587873
13332,2.587993
13433,2.617668
13534,2.573006
13635,2.572858
13736,2.590335
13837,2.584262
13938,2.586203
14039,2.597842
14140,2.555333
14241,2.580040
14342,2.608211
14443,2.593705
14544,2.576982
14645,2.575361
14746,2.575958
14847,2.575920
14948,2.566099
15049,2.570068
15150,2.561754
15251,2.563884
15352,2.574221
15453,2.574886
15554,2.559917
15655,2.536943
15756,2.544388
15857,2.578506
15958,2.554540
16059,2.551204
16160,2.550391
16261,2.556934
16362,2.537322
16463,2.515727
16564,2.537767
16665,2.541621
16766,2.540496
16867,2.538284
16968,2.558343
17069,2.555151
17170,2.546946
17271,2.545572
17372,2.522368
17473,2.538134
17574,2.525778
17675,2.549228
17776,2.531987
17877,2.534627
17978,2.538836
18079,2.525912
18180,2.526416
18281,2.549236
18382,2.522095
18483,2.521248
18584,2.539304
18685,2.525770
18786,2.518273
