Step,project_20260419_f6b17fa1/run_20260422_0dd02e0d/i18n
0,32.478531
101,3.964369
202,3.408437
303,3.202694
404,3.091560
505,3.053495
606,2.991597
707,2.958497
808,2.945442
909,2.888430
1010,2.885325
1111,2.868264
1212,2.861156
1313,2.835346
1414,2.856520
1515,2.852858
1616,2.810662
1717,2.818911
1818,2.799352
1919,2.804032
2020,2.788405
2121,2.791180
2222,2.794060
2323,2.771769
2424,2.761961
2525,2.790745
2626,2.755502
2727,2.761746
2828,2.753832
2929,2.724797
3030,2.744647
3131,2.736357
3232,2.754900
3333,2.755069
3434,2.737440
3535,2.704928
3636,2.726770
3737,2.719903
3838,2.732185
3939,2.697600
4040,2.734153
4141,2.725508
4242,2.693356
4343,2.699706
4444,2.694988
4545,2.706172
4646,2.697603
4747,2.693111
4848,2.710706
4949,2.724705
5050,2.717303
5151,2.729320
5252,2.690118
5353,2.722107
5454,2.718286
5555,2.700736
5656,2.720049
5757,2.722050
5858,2.698962
5959,2.672719
6060,2.692904
6161,2.685782
6262,2.702657
6363,2.672227
6464,2.678386
6565,2.698800
