Step,project_20260402_c4b7f427/run_20260430_d98901fd/cn,project_20260402_c4b7f427/run_20260417_eae7978c/cn,project_20260402_c4b7f427/run_20260415_b61fbe62/cn
0,20.952139,11.117593,11.117456
101,4.900508,4.965796,4.979109
202,3.754821,3.858883,3.870563
303,3.428279,3.531359,3.533519
404,3.280592,3.376106,3.374429
505,3.188173,3.274693,3.271503
606,3.143294,3.222839,3.219749
707,3.086737,3.160045,3.157784
808,3.048230,3.116888,3.113598
909,3.039069,3.103606,3.099413
1010,2.998794,3.060420,3.057059
1111,2.992812,3.050497,3.047228
1212,2.957182,3.012536,3.009576
1313,2.961234,3.015169,3.009663
1414,2.935272,2.986449,2.980895
1515,2.939230,2.987178,2.982723
1616,2.906750,2.954642,2.949950
1717,2.909786,2.955034,2.950055
1818,2.912143,2.955533,2.951553
1919,2.897116,2.938890,2.933878
2020,2.888332,2.929367,2.923495
2121,2.885256,2.924761,2.918849
2222,2.873758,2.918302,2.906229
2323,2.867703,2.911836,2.901838
2424,2.859904,2.904566,2.891773
2525,2.854448,2.947712,2.884878
2626,2.859529,2.910096,2.890020
2727,2.855167,2.903166,2.883174
2828,2.854187,2.901237,2.883260
2929,2.836848,2.888234,2.864254
3030,2.842893,2.894500,2.869559
3131,2.844369,2.909609,2.871680
3232,2.831732,2.884955,2.858226
3333,2.832745,2.889964,2.858298
3434,2.823617,2.881161,2.848686
3535,2.828193,2.885879,2.853740
3636,2.819027,2.875612,2.844048
3737,2.799970,2.857519,2.823119
3838,2.814847,3.107952,2.838859
3939,2.822571,2.914199,2.843843
4040,2.814539,2.904975,2.836513
4141,2.797046,2.891004,2.819623
4242,2.811989,2.964845,2.835831
4343,2.800389,3.038234,2.822453
4444,2.806912,2.998379,2.829289
4545,2.799893,3.313855,2.819702
4646,2.802744,3.206544,2.824275
4747,2.789730,3.123980,2.810916
4848,2.793998,3.187434,2.814396
4949,2.814720,4.638075,2.834778
5050,2.798332,5.355769,2.817845
5151,2.794386,5.353430,2.814164
5252,2.789069,5.589064,2.808318
5353,2.791500,5.410856,2.810875
5454,2.791147,5.486502,2.810863
5555,2.779042,5.349229,2.798415
5656,2.786832,5.320345,2.806425
5757,2.790442,5.402668,2.809237
5858,2.786917,5.615220,2.806693
5959,2.781816,5.467987,2.800741
6060,2.772125,6.619566,2.790715
6161,2.783745,8.513664,2.802242
6262,2.777494,7.279663,2.794442
6363,2.771276,6.257244,2.789225
6464,2.776424,6.693170,2.794502
6565,2.781493,,2.798618
6666,2.771630,,2.790864
6767,2.774547,,2.792744
6868,2.782900,,2.799645
6969,2.777659,,2.795516
7070,2.771915,,2.788671
7171,2.763142,,2.778742
7272,2.766570,,2.783058
7373,2.763834,,2.780381
7474,2.759073,,2.775945
7575,2.773959,,
7676,2.763268,,
7777,2.768712,,
7878,2.774562,,
7979,2.766555,,
8080,2.761636,,
8181,2.764099,,
8282,2.746991,,
8383,2.756341,,
8484,2.747537,,
8585,2.757837,,
8686,2.760815,,
8787,2.756716,,
8888,2.750769,,
8989,2.753758,,
9090,2.758922,,
9191,2.761003,,
9292,2.763319,,
9393,2.749777,,
9494,2.762544,,
9595,2.752523,,
9696,2.752644,,
9797,2.746564,,
9898,2.745798,,
9999,2.749579,,
