Step,project_20260402_c4b7f427/run_20260430_ec495f6e/cn,project_20260402_c4b7f427/run_20260418_7f2e761c/cn,project_20260402_c4b7f427/run_20260413_28369450/cn
0,22.860594,11.012803,11.013096
101,4.811059,4.888153,4.913453
202,3.661393,3.792437,3.816295
303,3.362060,3.482183,3.482523
404,3.222754,3.328191,3.323982
505,3.134234,3.227197,3.225641
606,3.093034,3.173404,3.170364
707,3.036649,3.112773,3.108914
808,2.998702,3.066349,3.063454
909,2.990239,3.054113,3.049868
1010,2.949928,3.009362,3.007282
1111,2.943246,3.000492,2.995972
1212,2.908383,2.962156,2.958302
1313,2.911762,2.963197,2.958883
1414,2.885906,2.933657,2.929288
1515,2.891034,2.935881,2.931222
1616,2.858090,2.902903,2.897370
1717,2.861045,2.903537,2.898746
1818,2.863149,2.904592,2.898863
1919,2.847433,2.887155,2.881316
2020,2.839147,2.877644,2.871541
2121,2.836448,2.873915,2.867960
2222,2.824848,2.860848,2.854656
2323,2.820185,2.855590,2.850021
2424,2.811266,2.846628,2.839025
2525,2.805930,2.838583,2.833052
2626,2.811025,2.844573,2.838298
2727,2.805578,2.840983,2.831204
2828,2.805195,2.839340,2.830643
2929,2.786785,2.820912,2.811898
3030,2.792964,2.825389,2.817919
3131,2.794365,2.827170,2.817826
3232,2.781898,2.814785,2.805049
3333,2.782116,2.815637,2.805018
3434,2.772904,2.805118,2.795037
3535,2.778528,2.810795,2.799186
3636,2.769183,2.801128,2.790151
3737,2.751013,2.781634,2.771691
3838,2.765327,2.796193,2.785191
3939,2.771107,2.803139,2.790534
4040,2.763520,2.799921,2.782458
4141,2.745653,2.781379,2.765496
4242,2.761656,2.796072,2.781622
4343,2.749952,2.797571,2.769209
4444,2.756818,2.794701,2.775500
4545,2.748781,2.784666,2.767126
4646,2.753175,2.788160,2.771240
4747,2.739147,2.774710,2.756440
4848,2.742356,2.779185,
4949,2.764112,2.800657,
5050,2.746394,2.787671,
5151,2.742861,2.781326,
5252,2.738275,2.787081,
5353,2.739944,2.786895,
5454,2.740642,2.808946,
5555,2.728076,2.842347,
5656,2.735296,3.106250,
5757,2.739631,2.840250,
5858,2.735430,6.358679,
5959,2.730647,3.110066,
6060,2.722077,3.616735,
6161,2.732723,4.994665,
6262,2.725858,2.961099,
6363,2.718698,3.234719,
6464,2.725929,2.950833,
6565,2.730671,3.041738,
6666,2.721385,3.221650,
6767,2.723143,3.146048,
6868,2.731547,3.012385,
6969,2.726477,3.046618,
7070,2.720263,3.136458,
7171,2.711133,3.208131,
7272,2.714770,3.285267,
7373,2.712519,3.350509,
7474,2.707359,4.069060,
7575,2.722412,3.946317,
7676,2.710895,5.017737,
7777,,7.059672,
7878,,6.604605,
7979,,6.709298,
8080,,6.882526,
8181,,7.414563,
8282,,6.762338,
8383,,6.857732,
8484,,6.773035,
8585,,6.750715,
8686,,6.698294,
8787,,6.552576,
8888,,6.483460,
8989,,6.211511,
9090,,7.337987,
9191,,5.851943,
9292,,5.805569,
9393,,5.622868,
9494,,5.730416,
9595,,5.118308,
9696,,5.076017,
9797,,5.262972,
9898,,5.491704,
9999,,5.113595,
10100,,5.248291,
10201,,5.300563,
10302,,5.537260,
10403,,5.741664,
10504,,6.078280,
10605,,6.271236,
10706,,6.506446,
10807,,7.666151,
10908,,7.348397,
11009,,7.820342,
11110,,7.406150,
11211,,7.573950,
11312,,7.546370,
11413,,7.666251,
11514,,7.533977,
11615,,7.438862,
11716,,7.291111,
11817,,7.321052,
11918,,7.195151,
12019,,7.267455,
12120,,7.185474,
12221,,7.206437,
12322,,6.854394,
12423,,6.679500,
12524,,6.420391,
12625,,6.099753,
12726,,5.881474,
12827,,5.659834,
12928,,5.301621,
13029,,5.167351,
13130,,4.845684,
13231,,4.432641,
13332,,4.160281,
13433,,4.069018,
13534,,3.808024,
13635,,3.682285,
13736,,3.571590,
13837,,3.548679,
13938,,3.452235,
14039,,3.381094,
14140,,3.336743,
14241,,3.320400,
14342,,3.286827,
