model_size,curve_name,original_run_name,x_name,step,val_loss,clip_min_step,clip_max_step
194m,Baseline,run_20260412_485afd31,Step,606.0,3.198532,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,707.0,3.170893,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,808.0,3.140183,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,909.0,3.130445,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1010.0,3.111854,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1111.0,3.096083,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1212.0,3.081016,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1313.0,3.079728,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1414.0,3.06667,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1515.0,3.066983,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1616.0,3.054609,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1717.0,3.048966,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1818.0,3.031866,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,1919.0,3.044119,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2020.0,3.029218,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2121.0,3.029748,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2222.0,3.028354,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2323.0,3.019592,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2424.0,3.028246,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2525.0,3.020756,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2626.0,3.015,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2727.0,3.01089,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2828.0,3.013448,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,2929.0,3.008406,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3030.0,3.003765,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3131.0,3.000471,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3232.0,3.00422,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3333.0,2.997636,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3434.0,3.00656,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3535.0,2.99422,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3636.0,2.991319,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3737.0,2.994071,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3838.0,2.990895,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,3939.0,2.997438,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,4040.0,2.989813,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,4141.0,2.978211,600,4242.0
194m,Baseline,run_20260412_485afd31,Step,4242.0,2.980938,600,4242.0
194m,Residual Rotation,run_20260412_5493889b,Step,606.0,3.188942,600,4242.0
