scope,layer,head,removed_fraction,baseline_loss,edited_loss,delta_loss,baseline_ppl,edited_ppl,delta_ppl,para_ratio,para_over_ref,edit_over_y,edit_over_ref,tokens,samples
baseline,,,1.0,3.7300255280356454,3.7300255280356454,0.0,41.68017216336902,41.68017216336902,0.0,,,,,36302.0,256
single_head,4,0,1.0,3.7300255280356454,3.729765045013016,-0.0002604830226293764,41.68017216336902,41.66931660004655,-0.010855563322472506,0.07867884620616536,0.06502181078023042,0.24178057119845425,0.06502181078023042,36302.0,256
single_head,4,1,1.0,3.7300255280356454,3.729114348576697,-0.0009111794589484745,41.68017216336902,41.642211343834234,-0.03796081953478847,0.1613026953668179,0.13040160275522117,0.34394699063367834,0.1304016032451014,36302.0,256
single_head,4,2,1.0,3.7300255280356454,3.729938503086951,-8.702494869439192e-05,41.68017216336902,41.676545106349444,-0.003627057019578217,0.10433579005585167,0.05592687454213835,0.24944263976055345,0.055926874174728185,36302.0,256
single_head,4,3,1.0,3.7300255280356454,3.7303687856385324,0.0003432576028870038,41.68017216336902,41.694481655134155,0.01430949176513252,0.09113799761758316,0.043472007868056335,0.22798611445100558,0.04347200780682131,36302.0,256
single_head,4,4,1.0,3.7300255280356454,3.748219949733744,0.018194421698098484,41.68017216336902,42.4454596624761,0.7652874991070746,0.5680402405717888,0.389049970921494,0.6256344321145468,0.389049970921494,36302.0,256
single_head,4,5,1.0,3.7300255280356454,3.729726280576828,-0.0002992474588174865,41.68017216336902,41.66770134378965,-0.01247081957937013,0.12323302580913163,0.09342829639498008,0.29276979004784115,0.09342829639498008,36302.0,256
single_head,4,6,1.0,3.7300255280356454,3.73017961734202,0.00015408930637450524,41.68017216336902,41.68659512702954,0.006422963660519088,0.1344106915950224,0.10193834002308536,0.3236295705706865,0.10193833977814525,36302.0,256
single_head,4,7,1.0,3.7300255280356454,3.731073149701635,0.0010476216659895954,41.68017216336902,41.723860094985724,0.04368793161670226,0.1335172348247806,0.087425945934013,0.29680176241737405,0.08742594519919267,36302.0,256
single_head,4,8,1.0,3.7300255280356454,3.730781105003254,0.0007555769676086399,41.68017216336902,41.71167664199202,0.03150447862299899,0.22260648551794934,0.07933865705533956,0.36133584208309044,0.07933865717780962,36302.0,256
single_head,4,9,1.0,3.7300255280356454,3.7326593441606177,0.002633816124972377,41.68017216336902,41.79009476732362,0.10992260395460107,0.1571285835169117,0.06078742296594365,0.2885693870613997,0.06078742247606343,36302.0,256
single_head,4,10,1.0,3.7300255280356454,3.739846508704324,0.009820980668678647,41.68017216336902,42.091528985821185,0.4113568224521629,0.42930041624612736,0.20313068603970233,0.5421781656263545,0.2031306855498221,36302.0,256
single_head,4,11,1.0,3.7300255280356454,3.7302378917763654,0.00021236374072008957,41.68017216336902,41.689024460563694,0.008852297194671621,0.15135569564488177,0.10030848844926715,0.3143345088329244,0.10030848820432704,36302.0,256
single_head,4,12,1.0,3.7300255280356454,3.729985149535494,-4.0378500151483365e-05,41.68017216336902,41.67848921450871,-0.0016829488603136156,0.15060669426374876,0.08490732623352937,0.3223621191561444,0.0849073261110593,36302.0,256
single_head,4,13,1.0,3.7300255280356454,3.7320542315807326,0.002028703545087218,41.68017216336902,41.76481470467866,0.08464254130964122,0.3082787227275452,0.13755447536618898,0.47138061660603964,0.13755447536618898,36302.0,256
single_head,4,14,1.0,3.7300255280356454,3.730896059983782,0.000870531948136577,41.68017216336902,41.7164718825813,0.03629971921228048,0.12716990189572513,0.08348235861088875,0.2840021211068866,0.08348235885582886,36302.0,256
single_head,4,15,1.0,3.7300255280356454,3.7329352818456973,0.002909753810051985,41.68017216336902,41.80162782046179,0.12145565709276696,0.44804390946110606,0.21885292089473793,0.5634264418750301,0.21885292138461815,36302.0,256
all_heads_one_layer,4,all,1.0,3.7300255280356454,3.7497523218848134,0.01972679384916809,41.68017216336902,42.51055176272581,0.8303795993567888,0.21182168431745593,0.12093919866945711,0.3593488198213343,0.12093919866945711,36302.0,256
single_head,13,0,1.0,3.7300255280356454,3.727069141227584,-0.0029563868080613176,41.68017216336902,41.55713141985994,-0.12304074350907968,0.23329276592783219,0.1425880279286278,0.3999804438836801,0.1425880279286278,36302.0,256
single_head,13,1,1.0,3.7300255280356454,3.729272782405239,-0.0007527456304061708,41.68017216336902,41.648809401470366,-0.03136276189865583,0.1515741839371521,0.10260753611996588,0.31010123978258786,0.102607536364906,36302.0,256
single_head,13,2,1.0,3.7300255280356454,3.7315162640617254,0.001490736026080075,41.68017216336902,41.7423526334043,0.06218047003527971,0.25412572956489354,0.15376515827543916,0.41974853480353624,0.1537651568057985,36302.0,256
single_head,13,3,1.0,3.7300255280356454,3.7278786279315708,-0.0021469001040745894,41.68017216336902,41.590784984418995,-0.08938717895002668,0.21260294578065306,0.1663998841045297,0.3768708065077538,0.16639988287982913,36302.0,256
single_head,13,4,1.0,3.7300255280356454,3.731489194864005,0.0014636668283598553,41.68017216336902,41.7412227167006,0.06105055333157594,0.31820113977021,0.2029448107881939,0.48258495122611456,0.20294481103313403,36302.0,256
single_head,13,5,1.0,3.7300255280356454,3.732605084710381,0.002579556674735528,41.68017216336902,41.78782732127195,0.10765515790292568,0.25504328991155256,0.2177359405983944,0.41793487282333286,0.2177359405983944,36302.0,256
single_head,13,6,1.0,3.7300255280356454,3.7247483055556514,-0.005277222479993959,41.68017216336902,41.46079597944162,-0.21937618392740177,0.4869189274024792,0.42692173621889346,0.6085649673816588,0.42692173621889346,36302.0,256
single_head,13,7,1.0,3.7300255280356454,3.7645077247487224,0.03448219671307706,41.68017216336902,43.14246266489035,1.4622905015213306,0.43540120813710953,0.31077052687471907,0.5796665540934987,0.3107705258949586,36302.0,256
