layer,head,sample,tokens,baseline_loss,edited_loss,delta_loss
6,0,0,196.0,3.6189582347869873,3.6178812980651855,-0.0010769367218017578
6,0,1,127.0,3.22214412689209,3.217953681945801,-0.0041904449462890625
6,0,2,162.0,2.2713801860809326,2.2713987827301025,1.8596649169921875e-05
6,0,3,92.0,4.133184909820557,4.123941898345947,-0.009243011474609375
6,0,4,194.0,3.299353837966919,3.2961156368255615,-0.003238201141357422
6,0,5,115.0,2.8214778900146484,2.8278682231903076,0.00639033317565918
6,0,6,109.0,4.325214862823486,4.32880973815918,0.0035948753356933594
6,0,7,48.0,3.449648857116699,3.4419097900390625,-0.007739067077636719
6,0,8,69.0,3.7256877422332764,3.728956937789917,0.003269195556640625
6,0,9,85.0,3.190195322036743,3.1897037029266357,-0.0004916191101074219
6,0,10,238.0,2.782064914703369,2.783315658569336,0.0012507438659667969
6,0,11,233.0,2.6044344902038574,2.608242988586426,0.0038084983825683594
6,0,12,208.0,3.147305488586426,3.1477773189544678,0.0004718303680419922
6,0,13,196.0,2.917774200439453,2.922187089920044,0.00441288948059082
6,0,14,131.0,3.2567384243011475,3.2570629119873047,0.00032448768615722656
6,0,15,125.0,2.790242910385132,2.7842578887939453,-0.0059850215911865234
6,0,16,61.0,4.113956451416016,4.113864421844482,-9.202957153320312e-05
6,0,17,164.0,2.230290412902832,2.2295353412628174,-0.0007550716400146484
6,0,18,107.0,3.345957040786743,3.349907875061035,0.003950834274291992
6,0,19,48.0,3.959183692932129,3.9493987560272217,-0.009784936904907227
6,0,20,74.0,2.182640314102173,2.1889121532440186,0.006271839141845703
6,0,21,103.0,2.7647080421447754,2.7798023223876953,0.015094280242919922
6,0,22,114.0,3.4331488609313965,3.4412708282470703,0.008121967315673828
6,0,23,50.0,5.562728404998779,5.567241191864014,0.004512786865234375
6,0,24,281.0,2.4593505859375,2.4567601680755615,-0.0025904178619384766
6,0,25,247.0,2.162877321243286,2.1638686656951904,0.0009913444519042969
6,0,26,173.0,3.780362606048584,3.7814321517944336,0.0010695457458496094
6,0,27,166.0,3.268761396408081,3.275590181350708,0.006828784942626953
6,0,28,98.0,2.8850836753845215,2.884193181991577,-0.0008904933929443359
6,0,29,174.0,3.2879021167755127,3.2832067012786865,-0.004695415496826172
6,0,30,173.0,3.087313413619995,3.094022750854492,0.00670933723449707
6,0,31,215.0,3.7688708305358887,3.7641005516052246,-0.0047702789306640625
6,0,32,186.0,2.7773280143737793,2.789496660232544,0.012168645858764648
6,0,33,153.0,2.610452890396118,2.602546453475952,-0.007906436920166016
6,0,34,147.0,3.096090793609619,3.091326951980591,-0.00476384162902832
6,0,35,50.0,4.262930870056152,4.26423454284668,0.0013036727905273438
6,0,36,86.0,2.5445685386657715,2.5630857944488525,0.018517255783081055
6,0,37,154.0,4.032649040222168,4.026131629943848,-0.0065174102783203125
6,0,38,265.0,2.685051679611206,2.688692092895508,0.003640413284301758
