model,metric,pearson_r,pearson_p,spearman_rho,spearman_p,heads
qwen3_0p6b,para_ratio,0.5156095496856237,0.00017646557242229763,0.32783326096396,0.022924500807282946,48
qwen3_0p6b,para_over_ref,0.4258190347042507,0.002548922981196017,0.16445940078158922,0.26399431730022904,48
qwen3_0p6b,edit_over_y,0.47739691864373834,0.0006012412968860504,0.32294832826747716,0.025166412811333205,48
qwen3_0p6b,edit_over_ref,0.4258190333905915,0.0025489230678786244,0.16445940078158922,0.26399431730022904,48
qwen3_1p7b,para_ratio,0.3034636658008117,0.03601445594350098,0.056339557099435514,0.7036891798543329,48
qwen3_1p7b,para_over_ref,0.2258896255991052,0.12264016556355876,-0.09411636995223623,0.5245912917547346,48
qwen3_1p7b,edit_over_y,0.2320496282295041,0.11249965169941736,0.025510204081632654,0.8633518490898354,48
qwen3_1p7b,edit_over_ref,0.22588962647343036,0.12264016407685122,-0.09411636995223623,0.5245912917547346,48
qwen3_4b,para_ratio,0.3657000081951366,0.00024836125784488005,0.0677428106348345,0.5119524631513475,96
qwen3_4b,para_over_ref,0.3877555475863345,9.488590398992057e-05,0.04816874660879002,0.641184222024689,96
qwen3_4b,edit_over_y,0.2955118194348091,0.003466055177268832,0.02894736842105263,0.779501711599519,96
qwen3_4b,edit_over_ref,0.38775554697404996,9.488590661560413e-05,0.04816874660879002,0.641184222024689,96
qwen3_8b,para_ratio,0.2654203464834913,0.008960276297573136,-0.02794357026587086,0.7869631496716947,96
qwen3_8b,para_over_ref,0.21350977298801882,0.03673418764163045,-0.04957948996201845,0.6314339363506636,96
qwen3_8b,edit_over_y,0.20883354999172127,0.04116031137859311,-0.056348345089527935,0.5855471361512748,96
qwen3_8b,edit_over_ref,0.2135097738353376,0.036734186877302594,-0.04957948996201845,0.6314339363506636,96
