model,layer,head,delta_loss,bootstrap_delta_loss,ci95_low,ci95_high,p_improve,sign_flip_p,ci_class,para_ratio,para_over_ref,edit_over_y,edit_over_ref,samples,tokens,sign_flip_q_global,fdr_global_class,sign_flip_q_model,fdr_model_class
qwen3_0p6b,4,0,-0.0002604830226293764,-0.00026055709907591004,-0.0009006931526536758,0.00035398417355677426,0.7956,0.4333566643335666,inconclusive,0.07867884620616536,0.06502181078023042,0.24178057119845425,0.06502181078023042,256,36302,0.6117976437650352,inconclusive,0.5073443875124682,inconclusive
qwen3_0p6b,4,1,-0.0009111794589484745,-0.0009111872645923437,-0.0020579292606271596,0.00021487110759959256,0.9448,0.1141885811418858,inconclusive,0.1613026953668179,0.13040160275522117,0.34394699063367834,0.1304016032451014,256,36302,0.2332362508430008,inconclusive,0.15660148270887198,inconclusive
qwen3_0p6b,4,2,-8.702494869439192e-05,-8.707373643090893e-05,-0.0013079770960745963,0.0009570629477624873,0.546,0.8918108189181082,inconclusive,0.10433579005585167,0.05592687454213835,0.24944263976055345,0.055926874174728185,256,36302,0.9512648735126488,inconclusive,0.9305852023493304,inconclusive
qwen3_0p6b,4,3,0.0003432576028870038,0.00034315188025240795,-0.00033473434199191146,0.001047526178823442,0.1556,0.3284671532846715,inconclusive,0.09113799761758316,0.043472007868056335,0.22798611445100558,0.04347200780682131,256,36302,0.4959339117634628,inconclusive,0.39416058394160586,inconclusive
qwen3_0p6b,4,4,0.018194421698098484,0.01819436650034232,0.014186101732042019,0.02234300099261873,0.0,9.999000099990002e-05,degrade,0.5680402405717888,0.389049970921494,0.6256344321145468,0.389049970921494,256,36302,0.0005332800053328001,degrade,0.00028232470870560004,degrade
qwen3_0p6b,4,5,-0.0002992474588174865,-0.0002992965585173644,-0.0012811471004422303,0.0006871045104822493,0.7212,0.5522447755224478,inconclusive,0.12323302580913163,0.09342829639498008,0.29276979004784115,0.09342829639498008,256,36302,0.713212983634372,inconclusive,0.6311368863113689,inconclusive
qwen3_0p6b,4,6,0.00015408930637450524,0.000154044334438312,-0.0005685380741051677,0.0008773193617992342,0.345,0.6882311768823117,inconclusive,0.1344106915950224,0.10193834002308536,0.3236295705706865,0.10193833977814525,256,36302,0.8057340607402673,inconclusive,0.7507976475079765,inconclusive
qwen3_0p6b,4,7,0.0010476216659895954,0.001047522540552466,-0.00010759504431110432,0.0021401892885778906,0.0382,0.06969303069693031,inconclusive,0.1335172348247806,0.087425945934013,0.29680176241737405,0.08742594519919267,256,36302,0.1645212527927535,inconclusive,0.10137168101371681,inconclusive
qwen3_0p6b,4,8,0.0007555769676086399,0.0007554978110903085,-0.0006310491407918424,0.002120640970558977,0.1406,0.28447155284471554,inconclusive,0.22260648551794934,0.07933865705533956,0.36133584208309044,0.07933865717780962,256,36302,0.451576820339944,inconclusive,0.3501188342704191,inconclusive
qwen3_0p6b,4,9,0.002633816124972377,0.0026337723549151445,0.0016511306489467557,0.003619969709196793,0.0,9.999000099990002e-05,degrade,0.1571285835169117,0.06078742296594365,0.2885693870613997,0.06078742247606343,256,36302,0.0005332800053328001,degrade,0.00028232470870560004,degrade
