model,layer,heads,improving_heads,degrading_heads,ci_improving_heads,ci_degrading_heads,ci_inconclusive_heads,mean_single_head_delta_loss,sum_single_head_delta_loss,all_heads_delta_loss,interaction_residual,fdr_model_improving_heads,fdr_model_degrading_heads,fdr_model_inconclusive_heads,fdr_global_improving_heads,fdr_global_degrading_heads,fdr_global_inconclusive_heads
qwen3_0p6b,4,16,5,11,0,5,11,0.0023358002305852443,0.03737280368936391,0.01972679384916809,-0.01764600984019582,0,5,11,0,3,13
qwen3_0p6b,13,16,8,8,8,8,0,0.0027546565543587753,0.044074504869740405,0.011547524714547563,-0.03252698015519284,8,8,0,7,8,1
qwen3_0p6b,22,16,2,14,1,9,6,0.0014305789374391975,0.02288926299902716,0.01215747276105672,-0.01073179023797044,1,7,8,0,7,9
qwen3_1p7b,4,16,8,8,3,4,9,0.000520235151708931,0.008323762427342896,0.007013335184497649,-0.0013104272428452468,3,4,9,3,3,10
qwen3_1p7b,14,16,11,5,10,3,3,0.0004969109134037308,0.007950574614459693,0.000717167774697991,-0.007233406839761702,9,3,4,8,3,5
qwen3_1p7b,23,16,6,10,1,4,11,0.0004119818344671955,0.006591709351475128,-0.0004400432836346724,-0.0070317526351098,1,3,12,1,3,12
qwen3_4b,6,32,13,19,1,5,26,0.0010887305413945086,0.03483937732462428,0.06393746138962131,0.029098084064997032,0,5,27,0,5,27
qwen3_4b,18,32,19,13,15,7,10,0.00011411270474495638,0.0036516065518386043,0.004821408494603219,0.0011698019427646145,13,6,13,13,7,12
qwen3_4b,31,32,20,12,6,2,24,-0.00026452618276297246,-0.008464837848415119,-0.004883462674766914,0.0035813751736482047,3,1,28,3,1,28
qwen3_8b,6,32,14,18,1,3,28,0.00025104873189919774,0.008033559420774328,0.0017681252720733731,-0.006265434148700955,0,1,31,0,1,31
qwen3_8b,18,32,20,12,11,7,14,0.0002490267040030636,0.007968854528098035,0.001713035463932755,-0.00625581906416528,6,5,21,9,5,18
qwen3_8b,31,32,14,18,1,3,28,9.665488708368586e-05,0.0030929563866779475,-0.001944310130562954,-0.0050372665172409015,1,1,30,1,2,29
