method	focus_layer	component	alpha	para_abs	perp_abs	perp_ratio	run_dir
awq_native_l0	0	attn_out	-0.012030295096337795	0.04510759934782982	0.1979154497385025	0.9420916438102722	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l0
awq_native_l0	0	block_out	-0.028968149796128273	0.22309072315692902	0.4505592882633209	0.7334468960762024	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l0
awq_native_l0	0	mlp_out	-0.04342670366168022	0.19825832545757294	0.40345215797424316	0.7267146110534668	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l0
awq_native_l1	1	attn_out	-0.011743697337806225	0.03206214681267738	0.22489674389362335	0.9759661555290222	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l1
awq_native_l1	1	block_out	-0.005665913689881563	0.07039438933134079	0.3317309319972992	0.9480962753295898	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l1
awq_native_l1	1	mlp_out	-0.028171367943286896	0.0634760931134224	0.24558575451374054	0.917365312576294	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l1
awq_native_l2	2	attn_out	-0.012015740387141705	0.03207981958985329	0.2852689325809479	0.9807948470115662	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l2
awq_native_l2	2	block_out	-0.004990528337657452	0.057950448244810104	0.4931928813457489	0.9795188307762146	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l2
awq_native_l2	2	mlp_out	-0.02024700492620468	0.07338901609182358	0.4123257100582123	0.961067259311676	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l2
awq_native_l3	3	attn_out	-0.02571253478527069	0.09017618745565414	0.38443636894226074	0.9454951286315918	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l3
awq_native_l3	3	block_out	-0.005751997698098421	0.10845089703798294	0.8847472071647644	0.9826638698577881	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l3
awq_native_l3	3	mlp_out	-0.03073316253721714	0.17177827656269073	0.7696177363395691	0.9284191727638245	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l3
awq_native_l4	4	attn_out	-0.02203872613608837	0.07257038354873657	0.43664243817329407	0.9695166945457458	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l4
awq_native_l4	4	block_out	-0.01199929416179657	0.24299056828022003	0.9884091019630432	0.9141839146614075	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l4
awq_native_l4	4	mlp_out	-0.03120443783700466	0.2700335681438446	0.8917837142944336	0.8837645649909973	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l4
awq_native_l5	5	attn_out	-0.020724887028336525	0.10553272813558578	0.5959708094596863	0.9652090072631836	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l5
awq_native_l5	5	block_out	-0.009350290521979332	0.2543754279613495	1.2763502597808838	0.9536638855934143	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l5
awq_native_l5	5	mlp_out	-0.033197060227394104	0.33734020590782166	1.159657597541809	0.9089292883872986	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l5
awq_native_l6	6	attn_out	-0.06498708575963974	0.4769972860813141	1.1330761909484863	0.8510507941246033	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l6
awq_native_l6	6	block_out	-0.006582103203982115	0.1845903992652893	1.6651263236999512	0.9829010963439941	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l6
awq_native_l6	6	mlp_out	-0.06347281485795975	0.6231923699378967	1.5925664901733398	0.8505103588104248	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l6
awq_native_l7	7	attn_out	-0.0307841245085001	0.19566501677036285	1.086681604385376	0.9602499604225159	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l7
awq_native_l7	7	block_out	-0.00899252574890852	0.28336894512176514	1.8761606216430664	0.9735423922538757	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l7
awq_native_l7	7	mlp_out	-0.04161864146590233	0.4356290400028229	1.6684662103652954	0.9290525913238525	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l7
awq_native_l8	8	attn_out	-0.03551029786467552	0.293022483587265	1.27141535282135	0.9334437251091003	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l8
awq_native_l8	8	block_out	-0.008698158897459507	0.316858172416687	2.3977863788604736	0.9801875948905945	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l8
awq_native_l8	8	mlp_out	-0.0352962352335453	0.5067934989929199	2.194795846939087	0.9430083632469177	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l8
awq_native_l9	9	attn_out	-0.029390059411525726	0.22559984028339386	1.2938634157180786	0.9615409970283508	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l9
awq_native_l9	9	block_out	-0.006981618236750364	0.2919282615184784	2.3961899280548096	0.985131561756134	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l9
awq_native_l9	9	mlp_out	-0.03171214833855629	0.5109606385231018	2.293752670288086	0.9541801810264587	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l9
awq_native_l10	10	attn_out	-0.015613642521202564	0.21509765088558197	1.5598878860473633	0.9732720851898193	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l10
awq_native_l10	10	block_out	-0.00562279624864459	0.22687067091464996	2.4531548023223877	0.9872527718544006	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l10
awq_native_l10	10	mlp_out	-0.028670215979218483	0.43065857887268066	2.376358985900879	0.9656984806060791	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l10
awq_native_l11	11	attn_out	-0.02786649763584137	0.231955885887146	1.4071799516677856	0.9650976657867432	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l11
awq_native_l11	11	block_out	-0.0071915821172297	0.3003425896167755	2.3224332332611084	0.9827095866203308	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l11
awq_native_l11	11	mlp_out	-0.032304227352142334	0.4645702838897705	2.1822350025177	0.9551210403442383	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l11
awq_native_l12	12	attn_out	-0.016813836991786957	0.2434043139219284	1.5555009841918945	0.9724391102790833	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l12
awq_native_l12	12	block_out	-0.006252281833440065	0.29403695464134216	2.4562742710113525	0.9802076816558838	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l12
awq_native_l12	12	mlp_out	-0.03649007901549339	0.5009121894836426	2.2455461025238037	0.9448347091674805	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l12
awq_native_l13	13	attn_out	-0.02868390828371048	0.27725639939308167	1.4558523893356323	0.9570538997650146	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l13
awq_native_l13	13	block_out	-0.008392867632210255	0.3635242283344269	2.568516969680786	0.9767428040504456	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l13
awq_native_l13	13	mlp_out	-0.02725055254995823	0.4055469334125519	2.392038106918335	0.9705180525779724	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l13
awq_native_l14	14	attn_out	-0.028514355421066284	0.2921285927295685	1.7404589653015137	0.9709606766700745	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l14
awq_native_l14	14	block_out	-0.004104800056666136	0.22445590794086456	2.5374112129211426	0.9888134598731995	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l14
awq_native_l14	14	mlp_out	-0.03002854250371456	0.42388418316841125	2.3125803470611572	0.9624154567718506	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l14
awq_native_l15	15	attn_out	-0.023262040689587593	0.22646625339984894	1.681284785270691	0.9773275256156921	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l15
awq_native_l15	15	block_out	-0.008486639708280563	0.4072708785533905	2.5889461040496826	0.9732005000114441	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l15
awq_native_l15	15	mlp_out	-0.042745139449834824	0.6041027903556824	2.3560750484466553	0.9320377707481384	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l15
awq_native_l16	16	attn_out	-0.027110924944281578	0.2550140917301178	1.5848627090454102	0.9692013263702393	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l16
awq_native_l16	16	block_out	-0.006542355287820101	0.3562547266483307	2.5188608169555664	0.979574978351593	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l16
awq_native_l16	16	mlp_out	-0.04175271466374397	0.614689290523529	2.325075149536133	0.9365786910057068	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l16
awq_native_l17	17	attn_out	-0.018187886103987694	0.19199489057064056	1.8099242448806763	0.9823392033576965	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l17
awq_native_l17	17	block_out	-0.004162756260484457	0.2402820736169815	2.7262704372406006	0.9905648231506348	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__awq_native_l17
