method	focus_layer	component	alpha	para_abs	perp_abs	perp_ratio	run_dir
wanda_unstructured_l0	0	attn_out	-0.07686346769332886	0.29565998911857605	0.38440659642219543	0.6219710111618042	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l0
wanda_unstructured_l0	0	block_out	-0.1170743778347969	0.932244598865509	0.9142208695411682	0.4592357575893402	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l0
wanda_unstructured_l0	0	mlp_out	-0.15908603370189667	0.7917966246604919	0.7749569416046143	0.46024981141090393	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l0
wanda_unstructured_l1	1	attn_out	-0.10010624676942825	0.25467243790626526	0.4830685555934906	0.7815105319023132	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l1
wanda_unstructured_l1	1	block_out	-0.02718937210738659	0.26776182651519775	0.7175318598747253	0.8786969184875488	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l1
wanda_unstructured_l1	1	mlp_out	-0.17230224609375	0.3714818060398102	0.36902013421058655	0.4836740493774414	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l1
wanda_unstructured_l2	2	attn_out	-0.11605823785066605	0.3131854236125946	0.591790497303009	0.7815086245536804	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l2
wanda_unstructured_l2	2	block_out	-0.03431286662817001	0.4100010395050049	0.9277378916740417	0.8362196087837219	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l2
wanda_unstructured_l2	2	mlp_out	-0.15659545361995697	0.5721516013145447	0.5370871424674988	0.4842942953109741	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l2
wanda_unstructured_l3	3	attn_out	-0.10241931676864624	0.36160317063331604	0.7330353260040283	0.8068298697471619	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l3
wanda_unstructured_l3	3	block_out	-0.04065898060798645	0.7420847415924072	1.4460328817367554	0.8374515175819397	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l3
wanda_unstructured_l3	3	mlp_out	-0.1689222902059555	1.0697935819625854	0.900749921798706	0.5273557305335999	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l3
wanda_unstructured_l4	4	attn_out	-0.15812557935714722	0.5139502882957458	0.9466428756713867	0.775674045085907	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l4
wanda_unstructured_l4	4	block_out	-0.03926759958267212	0.8209927678108215	2.2875611782073975	0.8759859204292297	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l4
wanda_unstructured_l4	4	mlp_out	-0.13594456017017365	1.2302480936050415	1.8393669128417969	0.6931355595588684	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l4
wanda_unstructured_l5	5	attn_out	-0.12620748579502106	0.6517360806465149	1.2089051008224487	0.7789917588233948	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l5
wanda_unstructured_l5	5	block_out	-0.03340335562825203	0.9285395741462708	3.044346809387207	0.9146175980567932	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l5
wanda_unstructured_l5	5	mlp_out	-0.1613783985376358	1.6873000860214233	2.4688169956207275	0.677982747554779	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l5
wanda_unstructured_l6	6	attn_out	-0.10065087676048279	0.7014217376708984	1.7607430219650269	0.8563576340675354	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l6
wanda_unstructured_l6	6	block_out	-0.027412855997681618	0.7975871562957764	3.6693811416625977	0.9509618878364563	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l6
wanda_unstructured_l6	6	mlp_out	-0.15779151022434235	1.692564845085144	2.9623241424560547	0.7584559321403503	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l6
wanda_unstructured_l7	7	attn_out	-0.13596394658088684	0.8226726651191711	1.5956922769546509	0.7889630794525146	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l7
wanda_unstructured_l7	7	block_out	-0.028528762981295586	0.9162507057189941	4.007727146148682	0.9479937553405762	/mnt/bn/seed-aws-va/shwai.he/demystifying-transformers-main/focused-compression-analysis/outputs/layerwise_para_perp/Qwen3-4B__wanda_unstructured_l7
