iter,project_20260419_f6b17fa1/run_20260430_b68b8ae7/i18n
0,32.532059
1000,4.080746
2000,3.423656
3000,3.219352
4000,3.106287
5000,3.067737
6000,3.015462
7000,2.982672
8000,2.935374
9000,2.918470
10000,2.896314
11000,2.903007
12000,2.876016
13000,2.864924
14000,2.866612
15000,2.821601
16000,2.826611
17000,2.815004
18000,2.817185
19000,2.795814
20000,2.821795
21000,2.821588
22000,2.783905
23000,2.794155
24000,2.775158
25000,2.783915
26000,2.769881
27000,2.772025
28000,2.777499
29000,2.757163
30000,2.747375
31000,2.777517
32000,2.744477
33000,2.751267
34000,2.743530
35000,2.715239
36000,2.736569
37000,2.729092
38000,2.746907
39000,2.747975
40000,2.730521
41000,2.698024
42000,2.721061
43000,2.715283
44000,2.727124
45000,2.692344
46000,2.729440
47000,2.720032
48000,2.689454
49000,2.696394
