Step,project_20260402_c4b7f427/run_20260430_286be9fc/cn,project_20260402_c4b7f427/run_20260417_f5116792/cn,project_20260402_c4b7f427/run_20260417_5471a202/cn
0,18.944267,11.101849,11.101524
101,4.944901,4.992132,5.001888
202,3.796495,3.889334,3.896620
303,3.434522,3.534007,3.531869
404,3.276623,3.372214,3.376185
505,3.189777,3.269709,3.290488
606,3.127410,3.205891,3.208827
707,3.087640,3.161493,3.163234
808,3.052495,3.114381,3.116689
909,3.033311,3.097925,3.097184
1010,3.008201,3.067724,3.068365
1111,2.987477,3.042676,3.046197
1212,2.968736,3.022804,3.021792
1313,2.963561,3.013255,3.012772
1414,2.947151,2.997306,2.995866
1515,2.943108,2.989455,2.988880
1616,2.929624,2.974583,2.972329
1717,2.921025,2.963583,2.962424
1818,2.901341,2.943043,2.939601
1919,2.908447,2.947109,2.946303
2020,2.893596,2.931159,2.929389
2121,2.892352,2.930324,2.929702
2222,2.888152,2.925229,2.922677
2323,2.880115,2.915653,2.913791
2424,2.888020,2.921876,2.919341
2525,2.877583,2.911441,2.908579
2626,2.872064,2.903277,2.900296
2727,2.864683,2.897914,2.893413
2828,2.868620,2.899319,2.895582
2929,2.863825,2.892433,2.888916
3030,2.854666,2.884876,2.881916
3131,2.849779,2.878878,2.875861
3232,2.855721,2.882567,2.880088
3333,2.848225,2.875978,2.873000
3434,2.855342,2.881523,2.878112
3535,2.841917,2.867907,2.864887
3636,2.838654,2.865541,2.861552
3737,2.839995,2.865620,2.861919
3838,2.838770,2.863347,2.859401
3939,2.842355,2.868108,2.864009
4040,2.834476,2.860377,2.855752
4141,2.823422,2.847222,2.843300
4242,2.823502,2.849748,2.845325
4343,2.828591,2.852796,2.849409
4444,2.822253,2.847027,2.843045
4545,2.833393,2.856374,2.850572
4646,2.826770,2.849488,2.845257
4747,2.826510,2.850042,2.846200
4848,2.818447,2.842216,2.837929
4949,2.816334,2.840363,2.835730
5050,2.821221,2.843044,2.839777
5151,2.822667,2.844321,2.840803
5252,2.814626,2.836979,2.832089
5353,2.810759,2.833549,2.828702
5454,2.814485,2.836427,2.832819
5555,2.811291,2.832538,2.829524
5656,2.802563,2.824467,2.820390
5757,2.801955,2.823473,2.819166
5858,2.812938,2.833383,2.829504
5959,2.812695,2.832731,2.829800
6060,2.809554,2.830147,2.825917
6161,2.805240,2.824918,2.821011
6262,2.797317,2.818657,2.815176
6363,2.804979,2.825448,2.821728
6464,2.796188,2.816586,2.812151
6565,2.800106,2.821187,2.816210
6666,2.797504,2.817868,2.814980
6767,2.801714,2.821023,2.817283
6868,,2.821236,2.816965
6969,,2.815240,2.811702
7070,,2.812620,2.808176
7171,,2.806868,2.801701
7272,,2.810037,2.806776
7373,,2.817169,2.813685
7474,,2.816083,2.811818
7575,,2.816145,2.811421
7676,,2.821701,2.817276
7777,,2.805740,2.800923
7878,,2.813120,2.808974
7979,,2.805943,2.801960
8080,,2.802139,2.799335
8181,,2.806406,2.802864
8282,,2.805351,2.801136
8383,,2.798434,2.794147
8484,,2.802871,2.798753
8585,,2.811579,2.806950
8686,,2.810698,2.804763
8787,,2.799422,2.796000
8888,,2.803761,2.798548
8989,,2.804208,2.800066
9090,,2.798463,2.793329
9191,,2.801290,2.796811
9292,,2.799913,2.795226
9393,,2.800922,2.798096
9494,,2.800328,2.795656
9595,,2.804681,2.799389
9696,,2.795677,2.790742
9797,,2.802717,2.797271
9898,,2.796807,2.790570
9999,,2.789223,2.784157
10100,,2.802585,2.796896
10201,,2.794645,2.789517
10302,,2.779792,2.775630
10403,,2.801997,2.797330
10504,,2.799937,2.793903
10605,,2.795214,2.790980
10706,,2.788677,2.783614
10807,,2.790912,2.785924
10908,,2.784794,2.780298
11009,,2.789321,2.784003
11110,,2.783489,2.777841
11211,,2.783183,
11312,,2.790822,
11413,,2.790332,
11514,,2.790205,
11615,,2.790027,
11716,,2.781168,
11817,,2.784844,
11918,,2.780452,
12019,,2.779018,
12120,,2.784564,
12221,,2.790117,
12322,,2.797014,
12423,,2.796163,
12524,,2.786710,
12625,,2.777591,
12726,,2.781986,
12827,,2.772619,
12928,,2.783044,
13029,,2.774867,
13130,,2.778090,
13231,,2.776644,
13332,,2.779370,
13433,,2.780022,
13534,,2.780438,
13635,,2.785294,
13736,,2.773972,
13837,,2.771656,
13938,,2.779118,
14039,,2.776918,
14140,,2.772417,
14241,,2.780704,
14342,,2.776054,
14443,,2.776165,
14544,,2.778146,
14645,,2.780424,
14746,,2.779433,
14847,,2.770627,
